customer_name,email,sum
Curtis Irby,curtis.irby@sakilacustomer.org,54.89
Lee Hawks,lee.hawks@sakilacustomer.org,54.89
Marcia Dean,marcia.dean@sakilacustomer.org,54.89
Morris Mccarter,morris.mccarter@sakilacustomer.org,54.89
Elmer Noe,elmer.noe@sakilacustomer.org,49.90
Gail Knight,gail.knight@sakilacustomer.org,49.90
Marion Snyder,marion.snyder@sakilacustomer.org,49.90
Mildred Bailey,mildred.bailey@sakilacustomer.org,49.90
Marion Snyder,marion.snyder@sakilacustomer.org,48.93
Gail Knight,gail.knight@sakilacustomer.org,47.94
